dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT11	Influenza	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	Metapneumovirus	131247	Coronaviridae
FPRT11	Rhinovirus	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT11	Human	INDEL	Metapneumovirus	0	Coronaviridae
FPRT11	Influenza	INDEL	Metapneumovirus	0	Coronaviridae
FPRT11	Metapneumovirus	INDEL	Metapneumovirus	34	Coronaviridae
FPRT11	Rhinovirus	INDEL	Metapneumovirus	0	Coronaviridae
FPRT11	Sars_cov_2	INDEL	Metapneumovirus	0	Coronaviridae
FPRT11	Human	MM	Metapneumovirus	0	Coronaviridae
FPRT11	Influenza	MM	Metapneumovirus	0	Coronaviridae
FPRT11	Metapneumovirus	MM	Metapneumovirus	37089	Coronaviridae
FPRT11	Rhinovirus	MM	Metapneumovirus	0	Coronaviridae
FPRT11	Sars_cov_2	MM	Metapneumovirus	0	Coronaviridae
FPRT11	Human	EQUAL	pDiscarded	3	Coronaviridae
FPRT11	Influenza	EQUAL	pDiscarded	40	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	pDiscarded	66	Coronaviridae
FPRT11	Rhinovirus	EQUAL	pDiscarded	3	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	pDiscarded	11	Coronaviridae
FPRT11	Human	INDEL	pDiscarded	0	Coronaviridae
FPRT11	Influenza	INDEL	pDiscarded	0	Coronaviridae
FPRT11	Metapneumovirus	INDEL	pDiscarded	0	Coronaviridae
FPRT11	Rhinovirus	INDEL	pDiscarded	1	Coronaviridae
FPRT11	Sars_cov_2	INDEL	pDiscarded	0	Coronaviridae
FPRT11	Human	MM	pDiscarded	3	Coronaviridae
FPRT11	Influenza	MM	pDiscarded	78	Coronaviridae
FPRT11	Metapneumovirus	MM	pDiscarded	244	Coronaviridae
FPRT11	Rhinovirus	MM	pDiscarded	24	Coronaviridae
FPRT11	Sars_cov_2	MM	pDiscarded	45	Coronaviridae
FPRT11	Human	EQUAL	rc_discarded	1	Coronaviridae
FPRT11	Influenza	EQUAL	rc_discarded	35	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	rc_discarded	41	Coronaviridae
FPRT11	Rhinovirus	EQUAL	rc_discarded	1	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	rc_discarded	7	Coronaviridae
FPRT11	Human	INDEL	rc_discarded	0	Coronaviridae
FPRT11	Influenza	INDEL	rc_discarded	0	Coronaviridae
FPRT11	Metapneumovirus	INDEL	rc_discarded	0	Coronaviridae
FPRT11	Rhinovirus	INDEL	rc_discarded	0	Coronaviridae
FPRT11	Sars_cov_2	INDEL	rc_discarded	0	Coronaviridae
FPRT11	Human	MM	rc_discarded	0	Coronaviridae
FPRT11	Influenza	MM	rc_discarded	52	Coronaviridae
FPRT11	Metapneumovirus	MM	rc_discarded	163	Coronaviridae
